episode,episode_reward,episode_steps,episode_success,episode_delay,total_samples,epsilon,loss,timestamp
291,-10.983903356924653,18,1,112.54715935697263,13261,0.5585,0.073029,2026-04-02 14:17:53
292,-38.56061197128289,43,1,322.9730044023021,13278,0.5573,0.163397,2026-04-02 14:17:53
293,-8.438506610230636,27,1,149.15604600926662,13343,0.5562,0.166616,2026-04-02 14:17:54
294,-1.1099558686239483,8,1,35.873196578735225,13347,0.5551,0.084599,2026-04-02 14:17:54
295,-42.49747887812828,57,1,384.4336986014977,13348,0.5540,0.151781,2026-04-02 14:17:54
296,-112.19890072721924,137,1,921.8174096207529,13349,0.5529,0.379263,2026-04-02 14:17:54
297,-1.2473171938179906,11,1,56.35010568663191,13350,0.5518,0.113147,2026-04-02 14:17:54
298,-11.131008757759526,13,1,131.21282941123434,13359,0.5507,0.241201,2026-04-02 14:17:54
299,-201.7446389505863,200,0,1065.3682251111882,13431,0.5496,0.044990,2026-04-02 14:17:55
300,-1.590323235500444,15,1,47.889253338056406,13471,0.5485,0.199751,2026-04-02 14:17:55
301,-0.7479833179619712,10,1,38.56964421289179,13516,0.5474,0.184548,2026-04-02 14:17:56
302,-5.612925236315675,23,1,107.2521478995881,13534,0.5463,0.114623,2026-04-02 14:17:56
303,0.5287601601149298,3,1,19.350332210010777,13564,0.5452,0.036746,2026-04-02 14:17:56
304,-0.06987969214292766,7,1,29.80810140175859,13576,0.5441,0.116570,2026-04-02 14:17:56
305,-7.019593321264381,39,1,92.24791663647696,13652,0.5430,0.168416,2026-04-02 14:17:57
306,-6.5269259983341135,11,1,103.63399701329055,13657,0.5419,0.163961,2026-04-02 14:17:57
307,-56.21382745135077,59,1,358.702914740284,13814,0.5408,0.152425,2026-04-02 14:17:59
308,-7.771981673123553,32,1,135.16946566748715,13835,0.5398,0.173014,2026-04-02 14:17:59
309,-17.955676735809075,32,1,271.17234145516034,13918,0.5387,0.178508,2026-04-02 14:18:00
